trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.101365	0.12217
0.0064	0.0251	0.0095	-0.0007068583470577034	0.0	0.0002844886680750757	0.87583143	47.05318069	0.91112047	0.09056735075663896	0.105624	0.12418
0.0097	-0.0084	0.0132	-0.001239183768915974	1.7453292519943296e-05	0.0005131268000863328	0.8259421	44.3729248	0.87344483	0.07942084231947355	0.108834	0.12858
0.0182	0.0213	0.0332	0.0003298672286269283	0.0010873401239924673	0.0007749261878854823	1.07586038	57.79954147	1.0627482	0.2032368608407288	0.0994411	0.10827
0.0388	0.009	-0.0196	0.004042182547618867	0.0019093902016817967	0.0016057029118347831	1.3842572	74.36785126	1.23566475	0.3539571060315284	0.0814909	0.07339
0.0726	-0.0069	-0.0712	0.005532693728822024	0.0022130774915288098	0.00249931148885588	1.11181092	59.73094559	0.99735493	0.23569035240356337	0.072468	0.05934
0.0558	-0.0479	-0.1545	0.006387905062299246	0.002825688058978819	0.001473057888683214	0.99609113	53.5140152	0.99074064	0.26580377505499486	0.0647975	0.04391
0.0128	0.0198	-0.1282	0.004780456821212468	0.00342259066316088	8.028514559173915e-05	0.99811232	53.62260056	0.99028823	0.3168561794180157	0.0719719	0.05597
0.0194	-0.0409	-0.1004	0.005763077190085277	0.0017418385934903407	0.0005672320068981572	1.15684533	62.15037537	1.09342811	0.2526159649924883	0.0724255	0.05593
0.0291	-0.06	0.0507	0.010211921453418822	0.005054473513775579	0.0011833332328521555	1.5319978	82.30506897	1.37390441	0.5987790204786391	0.0567508	0.03053
0.0031	-0.1068	-0.0953	0.012786282100110458	0.005358160803622591	-0.0005061454830783556	1.23075342	66.12101746	1.13331031	0.447176332623458	0.0446412	0.01415
0.0114	-0.0804	-0.1371	0.013409364643072432	0.006653195108602383	-0.000752236907609556	1.06544864	57.24017715	0.99712949	0.18471041362364837	0.0386488	0.00769
0.0296	-0.1421	-0.1437	0.011107275359691913	0.007143632628412791	-2.792526803190927e-05	1.35093558	72.5776825	1.03747566	0.26234192213842866	0.0469911	0.0135
0.0335	0.0734	-0.1164	0.01071457627799319	0.006476916854150957	0.0008237954069413235	1.823488	97.96509552	1.23315188	0.3422567765466896	0.0529003	0.02438
0.0181	-0.1931	-0.1437	0.014440854231001082	0.008595746566072072	-0.00023212879051524583	2.13004899	114.43477631	1.77454744	0.6542515931192788	0.0413141	0.03893
0.0406	-0.2158	-0.2367	0.020416861589829666	0.009225810426042026	0.0002897246558310587	1.75240397	94.1461792	1.63943549	0.494596233257242	0.0193013	0.00106
0.0433	-0.238	-0.2208	0.022294835864975566	0.009047786842338604	0.0006806784082777885	1.03629768	55.67406845	1.00996696	0.16314758056480258	0.0165005	0.00039
0.0357	-0.292	-0.1308	0.0223454504132834	0.007463027881527753	0.0007417649320975902	1.62419307	87.25817108	1.61198716	0.23642300164692429	0.0281104	0.03535
0.0497	-0.2388	-0.1993	0.020980602938223833	0.008426449628628624	0.001282817000215832	1.76763105	94.9642334	1.71191429	0.27916606451393394	0.0188149	0.00078
